tokenId,plotId,color,level,grade,grade type,grade value,age,owner
65537,1,2,1,17057698,1,280482,0,0x391B9254BE4F56dadF57905113Dfb88a3bf8f141
65538,1,10,2,67154454,4,45590,534188,0x391B9254BE4F56dadF57905113Dfb88a3bf8f141
65539,1,10,1,17598005,1,820789,0,0x391B9254BE4F56dadF57905113Dfb88a3bf8f141
65540,2,1,1,33817855,2,263423,0,0xe76EFE742e3588478559b32Ce8cfCE3d90A47562
65541,2,1,2,67372345,4,263481,534181,0xe76EFE742e3588478559b32Ce8cfCE3d90A47562
65542,2,9,1,17401075,1,623859,0,0xe76EFE742e3588478559b32Ce8cfCE3d90A47562
65543,3,10,1,17373347,1,596131,0,0xe76EFE742e3588478559b32Ce8cfCE3d90A47562
65544,3,10,2,68058821,4,949957,534181,0xe76EFE742e3588478559b32Ce8cfCE3d90A47562
65545,3,2,1,17680897,1,903681,0,0xe76EFE742e3588478559b32Ce8cfCE3d90A47562
65546,4,10,1,67287243,4,178379,534181,0xe76EFE742e3588478559b32Ce8cfCE3d90A47562
65547,4,1,2,17532190,1,754974,0,0xe76EFE742e3588478559b32Ce8cfCE3d90A47562
65548,4,9,1,17448072,1,670856,0,0xe76EFE742e3588478559b32Ce8cfCE3d90A47562
65549,5,9,1,34326659,2,772227,0,0xe76EFE742e3588478559b32Ce8cfCE3d90A47562
65550,5,9,2,67786132,4,677268,534181,0xe76EFE742e3588478559b32Ce8cfCE3d90A47562
65551,5,2,1,17499449,1,722233,0,0xe76EFE742e3588478559b32Ce8cfCE3d90A47562
65552,6,10,1,50988232,3,656584,0,0xe76EFE742e3588478559b32Ce8cfCE3d90A47562
65553,6,1,1,33812827,2,258395,0,0xe76EFE742e3588478559b32Ce8cfCE3d90A47562
65554,6,2,2,16984798,1,207582,0,0xe76EFE742e3588478559b32Ce8cfCE3d90A47562
65555,6,10,1,67770739,4,661875,534181,0xe76EFE742e3588478559b32Ce8cfCE3d90A47562
69633,1,10,1,33869410,2,314978,0,0xe66338c67B82fcaa0Ac4c8369c74C2B4EC5a0bAd
69634,1,10,2,17535605,1,758389,0,0xe66338c67B82fcaa0Ac4c8369c74C2B4EC5a0bAd
69635,1,9,1,67993720,4,884856,534137,0xe66338c67B82fcaa0Ac4c8369c74C2B4EC5a0bAd
4353,0,2,1,17649854,1,872638,0,0x29EcAA773F052d14ec5258b352ee7304f57aaBc3
4354,0,10,2,67365639,4,256775,534132,0xC91b7696D0Cf011f98738c8D1d65aBd172F4823D
4355,0,1,1,34521699,2,967267,0,0x501E13C2aE8D9232B88F63E87DFA1dF28103aCb6
4356,0,9,1,33756849,2,202417,0,0x501E13C2aE8D9232B88F63E87DFA1dF28103aCb6
69636,2,9,2,34456587,2,902155,0,0xe66338c67B82fcaa0Ac4c8369c74C2B4EC5a0bAd
69637,2,9,1,67478909,4,370045,534129,0xe66338c67B82fcaa0Ac4c8369c74C2B4EC5a0bAd
69638,2,1,1,34179843,2,625411,0,0xe66338c67B82fcaa0Ac4c8369c74C2B4EC5a0bAd
69639,3,1,1,67187136,4,78272,534118,0xe76EFE742e3588478559b32Ce8cfCE3d90A47562
69640,3,2,2,34170545,2,616113,0,0xe76EFE742e3588478559b32Ce8cfCE3d90A47562
69641,3,9,1,33924011,2,369579,0,0xe76EFE742e3588478559b32Ce8cfCE3d90A47562
69642,4,2,2,67652033,4,543169,534114,0xC24f97Bb1d7a75D9f986c99DFcfa2A558058904C
69643,4,2,1,50420801,3,89153,0,0xC24f97Bb1d7a75D9f986c99DFcfa2A558058904C
69644,4,2,1,33834935,2,280503,0,0xC24f97Bb1d7a75D9f986c99DFcfa2A558058904C
69645,5,2,2,17183590,1,406374,0,0xC24f97Bb1d7a75D9f986c99DFcfa2A558058904C
69646,5,1,1,67297831,4,188967,534114,0xC24f97Bb1d7a75D9f986c99DFcfa2A558058904C
