address,amount
0x360bbad1120b0abf63573e2e21b6727e07d1bf18,1045
0xfefbdc19a0d855a8b9bbf79144bc32cc7eeda019,241
0x72639fd1a1c3e2a9bd6745caf774c6cc57f0c946,195
0xfbf13497056f33300ad82511c6a1349dd3d2ae26,139
0xcf0e9b4746cfb97bae329fe5f696969f6564566a,102
0xf2c74f54bda3a08a65fc83cd3bcc6df0d1d7f046,84
0x188ac736cb3caf60b5f4b2924905a18c985d81f2,77
0x2856bca7e7d1e55edd9ffa3d2b7425aea802a4cf,53
0x407dbc332f834e51737e428fe22ce10fcdb4214f,41
0x6841ccc222018ba65432d1f753676562d6c12f10,33
0xf37d9211db931105c68ba3932da161811fc7742d,27
0x0a3239799518e7f7f339867a4739282014b97dcf,24
0xe66338c67b82fcaa0ac4c8369c74c2b4ec5a0bad,23
0x2a2ce75c33867a116c3cf985e61b0632a2220c94,14
0x180b99e223ac8e703282302edca2ded92d33581e,11
0x60d38778adbbeeac88f741b833cbb9877228eea0,11
0xabe648928a8d5b1d943d5d237de71bb2a0c2794c,8
0x2d7558ed8077e4497c12707af5cdd231fae6be6b,7
0xc91b7696d0cf011f98738c8d1d65abd172f4823d,6
0x630198f7a7ba302dcb3595a82f60930d83747ef7,6
0x778f7434956b899303708fa3c5fad85bf9d93e06,4
0x0a19b2ac2da8b86de5d34fcdc98f029c28b1becb,3
0x7d001db2dc940b600f3494444b1a8082b388031b,3
0x3bc566525b4016e84e63211d590bfbf65c23212e,1
