tokenId,color,level,grade,grade type,grade value,age,owner
65537,2,1,17057698,1,280482,0,0x391B9254BE4F56dadF57905113Dfb88a3bf8f141
65538,10,2,67154454,4,45590,533064,0x391B9254BE4F56dadF57905113Dfb88a3bf8f141
65539,10,1,17598005,1,820789,0,0x391B9254BE4F56dadF57905113Dfb88a3bf8f141
65540,1,1,33817855,2,263423,0,0xe76EFE742e3588478559b32Ce8cfCE3d90A47562
65541,1,2,67372345,4,263481,533056,0xe76EFE742e3588478559b32Ce8cfCE3d90A47562
65542,9,1,17401075,1,623859,0,0xe76EFE742e3588478559b32Ce8cfCE3d90A47562
65543,10,1,17373347,1,596131,0,0xe76EFE742e3588478559b32Ce8cfCE3d90A47562
65544,10,2,68058821,4,949957,533056,0xe76EFE742e3588478559b32Ce8cfCE3d90A47562
65545,2,1,17680897,1,903681,0,0xe76EFE742e3588478559b32Ce8cfCE3d90A47562
65546,10,1,67287243,4,178379,533056,0xe76EFE742e3588478559b32Ce8cfCE3d90A47562
65547,1,2,17532190,1,754974,0,0xe76EFE742e3588478559b32Ce8cfCE3d90A47562
65548,9,1,17448072,1,670856,0,0xe76EFE742e3588478559b32Ce8cfCE3d90A47562
65549,9,1,34326659,2,772227,0,0xe76EFE742e3588478559b32Ce8cfCE3d90A47562
65550,9,2,67786132,4,677268,533056,0xe76EFE742e3588478559b32Ce8cfCE3d90A47562
65551,2,1,17499449,1,722233,0,0xe76EFE742e3588478559b32Ce8cfCE3d90A47562
65552,10,1,50988232,3,656584,0,0xe76EFE742e3588478559b32Ce8cfCE3d90A47562
65553,1,1,33812827,2,258395,0,0xe76EFE742e3588478559b32Ce8cfCE3d90A47562
65554,2,2,16984798,1,207582,0,0xe76EFE742e3588478559b32Ce8cfCE3d90A47562
65555,10,1,67770739,4,661875,533056,0xe76EFE742e3588478559b32Ce8cfCE3d90A47562
69633,10,1,33869410,2,314978,0,0xe66338c67B82fcaa0Ac4c8369c74C2B4EC5a0bAd
69634,10,2,17535605,1,758389,0,0xe66338c67B82fcaa0Ac4c8369c74C2B4EC5a0bAd
69635,9,1,67993720,4,884856,533012,0xe66338c67B82fcaa0Ac4c8369c74C2B4EC5a0bAd
4353,2,1,17649854,1,872638,0,0x29EcAA773F052d14ec5258b352ee7304f57aaBc3
4354,10,2,67365639,4,256775,533008,0xC91b7696D0Cf011f98738c8D1d65aBd172F4823D
4355,1,1,34521699,2,967267,0,0x501E13C2aE8D9232B88F63E87DFA1dF28103aCb6
4356,9,1,33756849,2,202417,0,0x501E13C2aE8D9232B88F63E87DFA1dF28103aCb6
69636,9,2,34456587,2,902155,0,0xe66338c67B82fcaa0Ac4c8369c74C2B4EC5a0bAd
69637,9,1,67478909,4,370045,533005,0xe66338c67B82fcaa0Ac4c8369c74C2B4EC5a0bAd
69638,1,1,34179843,2,625411,0,0xe66338c67B82fcaa0Ac4c8369c74C2B4EC5a0bAd
69639,1,1,67187136,4,78272,532994,0xe76EFE742e3588478559b32Ce8cfCE3d90A47562
69640,2,2,34170545,2,616113,0,0xe76EFE742e3588478559b32Ce8cfCE3d90A47562
69641,9,1,33924011,2,369579,0,0xe76EFE742e3588478559b32Ce8cfCE3d90A47562
69642,2,2,67652033,4,543169,532990,0xC24f97Bb1d7a75D9f986c99DFcfa2A558058904C
69643,2,1,50420801,3,89153,0,0xC24f97Bb1d7a75D9f986c99DFcfa2A558058904C
69644,2,1,33834935,2,280503,0,0xC24f97Bb1d7a75D9f986c99DFcfa2A558058904C
69645,2,2,17183590,1,406374,0,0xC24f97Bb1d7a75D9f986c99DFcfa2A558058904C
69646,1,1,67297831,4,188967,532990,0xC24f97Bb1d7a75D9f986c99DFcfa2A558058904C
69647,2,1,17409869,1,632653,0,0xC24f97Bb1d7a75D9f986c99DFcfa2A558058904C
69648,9,2,17369385,1,592169,0,0xC24f97Bb1d7a75D9f986c99DFcfa2A558058904C
69649,2,1,67759446,4,650582,532990,0xC24f97Bb1d7a75D9f986c99DFcfa2A558058904C
69650,10,1,17033128,1,255912,0,0xC24f97Bb1d7a75D9f986c99DFcfa2A558058904C
69651,1,1,67242197,4,133333,532990,0xC24f97Bb1d7a75D9f986c99DFcfa2A558058904C
69652,9,2,34377631,2,823199,0,0xC24f97Bb1d7a75D9f986c99DFcfa2A558058904C
69653,9,1,34230662,2,676230,0,0xC24f97Bb1d7a75D9f986c99DFcfa2A558058904C
69654,1,1,17373285,1,596069,0,0xC24f97Bb1d7a75D9f986c99DFcfa2A558058904C
69655,1,1,16888079,1,110863,0,0xC24f97Bb1d7a75D9f986c99DFcfa2A558058904C
69656,1,2,68103049,4,994185,532990,0xC24f97Bb1d7a75D9f986c99DFcfa2A558058904C
69657,2,1,17494846,1,717630,0,0xC24f97Bb1d7a75D9f986c99DFcfa2A558058904C
69658,2,1,84856536,5,970456,532990,0x9D3f10F5D553DDA3F36E09aB0c3C757BA99e8894
69659,1,2,34486607,2,932175,0,0x9D3f10F5D553DDA3F36E09aB0c3C757BA99e8894
69660,2,1,34137523,2,583091,0,0x9D3f10F5D553DDA3F36E09aB0c3C757BA99e8894
69661,10,1,16827756,1,50540,0,0x4906E4f95ad546cE865916F65C825e00630bFfa8
69662,1,2,67972290,4,863426,532989,0x4906E4f95ad546cE865916F65C825e00630bFfa8
69663,10,1,17343933,1,566717,0,0x4906E4f95ad546cE865916F65C825e00630bFfa8
69664,10,1,67326440,4,217576,532989,0x4906E4f95ad546cE865916F65C825e00630bFfa8
69665,2,2,34065491,2,511059,0,0x4906E4f95ad546cE865916F65C825e00630bFfa8
69666,1,1,16799124,1,21908,0,0x4906E4f95ad546cE865916F65C825e00630bFfa8
69667,2,1,33680446,2,126014,0,0xCf0E9b4746cfB97bAE329FE5F696969F6564566a
69668,10,2,67849185,4,740321,532986,0xCf0E9b4746cfB97bAE329FE5F696969F6564566a
69669,9,1,33649744,2,95312,0,0x1183267Cf52d69b522524dd4b46B159f0c3B01ab
69670,9,2,33979840,2,425408,0,0xCf0E9b4746cfB97bAE329FE5F696969F6564566a
69671,9,1,67449348,4,340484,532986,0xC91b7696D0Cf011f98738c8D1d65aBd172F4823D
69672,1,1,34024403,2,469971,0,0xCf0E9b4746cfB97bAE329FE5F696969F6564566a
69673,9,2,67994463,4,885599,532986,0xCf0E9b4746cfB97bAE329FE5F696969F6564566a
69674,10,1,16809094,1,31878,0,0xB535ac19Df533873c2c640dF6cD644Cfbf8B5d39
69675,10,1,17523377,1,746161,0,0x3390a73ad9D40F7A2f4B5e5dEAf10be88BCdE0D7
69676,10,4,84573369,5,687289,532986,0xCf0E9b4746cfB97bAE329FE5F696969F6564566a
69677,2,2,34516381,2,961949,0,0xCf0E9b4746cfB97bAE329FE5F696969F6564566a
69678,1,1,16982641,1,205425,0,0x2DC871B69e2C7B77f8E747A490215CCE20CF00BA
69679,2,1,17584356,1,807140,0,0x110F5169eaA698d2E309b60134468E2eC4E4f84B
69680,9,1,17151322,1,374106,0,0xCf0E9b4746cfB97bAE329FE5F696969F6564566a
69681,1,5,67818529,4,709665,532986,0xC91b7696D0Cf011f98738c8D1d65aBd172F4823D
69682,1,1,33753657,2,199225,0,0xCf0E9b4746cfB97bAE329FE5F696969F6564566a
69683,9,2,67778050,4,669186,532986,0xCf0E9b4746cfB97bAE329FE5F696969F6564566a
69684,9,1,17204256,1,427040,0,0xCf0E9b4746cfB97bAE329FE5F696969F6564566a
69685,9,1,16938539,1,161323,0,0x983961F34fC4cFC5EAfec371CDBA9d56fF8C1935
69686,10,2,67570888,4,462024,532986,0xC91b7696D0Cf011f98738c8D1d65aBd172F4823D
69687,9,1,17566280,1,789064,0,0xCf0E9b4746cfB97bAE329FE5F696969F6564566a
69688,10,1,17132907,1,355691,0,0xCf0E9b4746cfB97bAE329FE5F696969F6564566a
69689,2,2,67921689,4,812825,532986,0xCf0E9b4746cfB97bAE329FE5F696969F6564566a
69690,1,1,16812673,1,35457,0,0xCf0E9b4746cfB97bAE329FE5F696969F6564566a
69691,10,1,50761612,3,429964,0,0xCf0E9b4746cfB97bAE329FE5F696969F6564566a
69692,1,1,17196447,1,419231,0,0xCf0E9b4746cfB97bAE329FE5F696969F6564566a
69693,1,2,67769546,4,660682,532986,0xC91b7696D0Cf011f98738c8D1d65aBd172F4823D
69694,2,1,33819474,2,265042,0,0x3390a73ad9D40F7A2f4B5e5dEAf10be88BCdE0D7
69695,9,2,67961783,4,852919,532986,0xCf0E9b4746cfB97bAE329FE5F696969F6564566a
69696,1,2,16789262,1,12046,0,0xCf0E9b4746cfB97bAE329FE5F696969F6564566a
69697,10,1,51236717,3,905069,0,0xCf0E9b4746cfB97bAE329FE5F696969F6564566a
69698,9,2,17686542,1,909326,0,0xCf0E9b4746cfB97bAE329FE5F696969F6564566a
69699,2,1,67768079,4,659215,532986,0xC91b7696D0Cf011f98738c8D1d65aBd172F4823D
69700,2,1,16818964,1,41748,0,0xCf0E9b4746cfB97bAE329FE5F696969F6564566a
69701,2,1,34471437,2,917005,0,0x87a405bE5ef6F8770cd4A3088bE43DA04F5d4339
